observation_date,DSPI
1990-11-01,4373.0
1990-12-01,4403.1
1991-01-01,4408.2
1991-02-01,4417.2
1991-03-01,4425.6
1991-04-01,4451.4
1991-05-01,4470.7
1991-06-01,4501.2
1991-07-01,4499.2
1991-08-01,4519.7
1991-09-01,4547.3
1991-10-01,4562.2
1991-11-01,4578.6
1991-12-01,4630.9
1992-01-01,4681.8
1992-02-01,4713.9
1992-03-01,4729.5
1992-04-01,4755.6
1992-05-01,4784.1
1992-06-01,4812.6
1992-07-01,4824.8
1992-08-01,4848.2
1992-09-01,4833.4
1992-10-01,4819.2
1992-11-01,4836.0
1992-12-01,5017.2
1993-01-01,4919.8
1993-02-01,4950.7
1993-03-01,4945.5
1993-04-01,4984.4
1993-05-01,4992.6
1993-06-01,4985.0
1993-07-01,5005.5
1993-08-01,5021.3
1993-09-01,5012.8
1993-10-01,5004.1
1993-11-01,5027.4
1993-12-01,5199.9
1994-01-01,5103.9
1994-02-01,5125.3
1994-03-01,5156.2
1994-04-01,5162.3
1994-05-01,5229.4
1994-06-01,5233.9
1994-07-01,5254.9
1994-08-01,5273.3
1994-09-01,5302.2
1994-10-01,5361.6
1994-11-01,5371.6
1994-12-01,5399.4
1995-01-01,5427.5
1995-02-01,5447.9
1995-03-01,5473.0
1995-04-01,5446.7
1995-05-01,5510.3
1995-06-01,5532.1
1995-07-01,5551.2
1995-08-01,5566.7
1995-09-01,5588.5
1995-10-01,5609.1
1995-11-01,5624.0
1995-12-01,5642.2
1996-01-01,5662.1
1996-02-01,5714.6
1996-03-01,5750.2
1996-04-01,5732.6
1996-05-01,5815.0
1996-06-01,5849.6
1996-07-01,5846.0
1996-08-01,5865.9
1996-09-01,5895.9
1996-10-01,5912.8
1996-11-01,5939.0
1996-12-01,5965.5
1997-01-01,5989.6
1997-02-01,6018.1
1997-03-01,6052.4
1997-04-01,6062.3
1997-05-01,6085.8
1997-06-01,6113.1
1997-07-01,6140.2
1997-08-01,6177.3
1997-09-01,6208.4
1997-10-01,6247.1
1997-11-01,6288.0
1997-12-01,6323.4
1998-01-01,6382.2
1998-02-01,6420.1
1998-03-01,6458.7
1998-04-01,6487.7
1998-05-01,6523.5
1998-06-01,6554.9
