DATE,BOGZ1FL153064486Q_CHG
1952-01-01,-0.0836165995
1952-04-01,0.3384009411
1952-07-01,-0.2704751594
1952-10-01,-1.0694950869
1953-01-01,-0.4125314278
1953-04-01,-0.9121094266
1953-07-01,-0.5927159537
1953-10-01,1.0022186618
1954-01-01,0.8006739984
1954-04-01,1.0859216230
1954-07-01,1.1690502526
1954-10-01,-0.0805671990
1955-01-01,0.2720876578
1955-04-01,1.3470091129
1955-07-01,0.6387949440
1955-10-01,-0.1448886719
1956-01-01,0.7667847451
1956-04-01,-0.8286015734
1956-07-01,-0.6347020386
1956-10-01,1.0486895187
1957-01-01,-1.1327872948
1957-04-01,0.7830534903
1957-07-01,-1.9112399626
1957-10-01,-0.1692118673
1958-01-01,0.6093526440
1958-04-01,0.7416462534
1958-07-01,1.3948543445
1958-10-01,0.379736355
1959-01-01,0.1752493033
1959-04-01,0.4866570360
1959-07-01,-0.5657668448
1959-10-01,0.8285551009
1960-01-01,-1.3046752732
1960-04-01,0.1622886736
1960-07-01,-1.5142866864
1960-10-01,1.7674182615
1961-01-01,1.7582104964
1961-04-01,-0.2270962741
1961-07-01,0.1846618674
1961-10-01,1.0958964541
1962-01-01,-0.6593159373
1962-04-01,-5.1231557696
1962-07-01,0.6574485563
1962-10-01,3.5368138407
1963-01-01,0.3996353328
1963-04-01,0.7166038898
1963-07-01,0.5922416978
1963-10-01,-1.3731967350
1964-01-01,0.9922565110
1964-04-01,0.3054184333
1964-07-01,0.3319620697
1964-10-01,0.0760842180
1965-01-01,0.2154900920
1965-04-01,-1.1041737865
1965-07-01,1.3289186595
1965-10-01,0.7923230750
1966-01-01,-0.9478289119
1966-04-01,-1.2865594054
1966-07-01,-2.4265996692
1966-10-01,0.9041328524
1967-01-01,2.0627997434
1967-04-01,-0.0667299145
1967-07-01,0.8070858512
1967-10-01,0.2544814953
1968-01-01,-1.9310820165
1968-04-01,2.1975863733
1968-07-01,-0.1223313850
1968-10-01,1.8265712942
1969-01-01,-1.5669855295
1969-04-01,-1.3393747866
1969-07-01,-0.8840916438
1969-10-01,-1.6242924497
1970-01-01,-0.8355794454
1970-04-01,-4.3910197247
1970-07-01,2.1795579112
1970-10-01,1.2449153497
1971-01-01,1.2736352878
1971-04-01,-0.5105166031
1971-07-01,-0.7376386222
1971-10-01,0.8708491268
1972-01-01,0.5407617026
1972-04-01,-0.5035091864
1972-07-01,-0.0667179889
1972-10-01,2.0349700567
1973-01-01,-2.043347626
1973-04-01,-1.9890806039
1973-07-01,0.5135247377
1973-10-01,-3.4491677889
1974-01-01,-1.1058264676
1974-04-01,-2.0533779614
1974-07-01,-3.9339958282
1974-10-01,-0.2486920271
1975-01-01,2.1708026199
1975-04-01,1.4050874780
1975-07-01,-1.9161492240
1975-10-01,0.6052814627
1976-01-01,1.6594203972
1976-04-01,0.0162510214
1976-07-01,-0.0834713307
1976-10-01,0.1301538557
1977-01-01,-1.3966542788
1977-04-01,0.0315715065
1977-07-01,-0.8867295770
1977-10-01,-0.8562828832
1978-01-01,-0.9283666452
1978-04-01,0.4030839622
1978-07-01,0.4193505687
1978-10-01,-0.7901583508
1979-01-01,0.3552416455
1979-04-01,-0.1125210317
1979-07-01,0.330299570
1979-10-01,0.1242248725
1980-01-01,-1.1575505295
1980-04-01,1.0860223624
1980-07-01,0.9693151836
1980-10-01,0.8575082564
1981-01-01,-0.2026678132
1981-04-01,-0.5043524884
1981-07-01,-2.0760762328
1981-10-01,0.4947777936
1982-01-01,-1.6161167349
1982-04-01,-0.4987368449
1982-07-01,0.4708892390
1982-10-01,1.6109117699
1983-01-01,0.7914724004
1983-04-01,1.0818696132
1983-07-01,-0.5711306837
1983-10-01,-0.7417136867
1984-01-01,-0.7300527182
1984-04-01,-0.8796654978
1984-07-01,0.3133272574
1984-10-01,-0.1535647701
1985-01-01,0.5043901426
1985-04-01,0.3231193289
1985-07-01,-0.8173465675
1985-10-01,1.4995933905
1986-01-01,1.1052632135
1986-04-01,0.2051372074
1986-07-01,-1.3581331829
1986-10-01,0.9832559011
1987-01-01,1.8627641395
1987-04-01,-0.1684538386
1987-07-01,0.3628054927
1987-10-01,-2.7994146300
1988-01-01,0.6415651723
1988-04-01,0.4210785193
1988-07-01,-0.1436827711
1988-10-01,0.4284351450
1989-01-01,0.3499538274
1989-04-01,0.5102370434
1989-07-01,0.7757702799
1989-10-01,0.1905003446
1990-01-01,-0.9810198428
1990-04-01,0.3274404383
1990-07-01,-2.3872746430
1990-10-01,1.1450718885
1991-01-01,1.6571036994
1991-04-01,-0.1811737551
1991-07-01,0.7532276072
1991-10-01,1.8536489846
1992-01-01,-0.3189685838
1992-04-01,-0.1636557129
1992-07-01,0.3576577759
1992-10-01,1.6562443566
1993-01-01,0.3779821872
1993-04-01,0.1354011003
1993-07-01,0.5735060578
1993-10-01,0.5283064169
1994-01-01,-0.7732693820
1994-04-01,-0.3030301646
1994-07-01,0.3745684568
1994-10-01,-0.2063819123
1995-01-01,1.0055984849
1995-04-01,1.0211279564
1995-07-01,1.2171385480
1995-10-01,0.9797097477
1996-01-01,0.6290330911
1996-04-01,0.6127585497
1996-07-01,0.0419454978
1996-10-01,0.8017898784
1997-01-01,0.0079744711
1997-04-01,2.6488579017
1997-07-01,1.3589962081
1997-10-01,-0.0823890940
1998-01-01,2.4689698614
1998-04-01,-0.1175939987
1998-07-01,-3.1433874199
1998-10-01,3.6199875933
1999-01-01,0.0947732904
1999-04-01,1.6601714379
1999-07-01,-1.3792028046
1999-10-01,3.7334229576
2000-01-01,1.2661973490
2000-04-01,-1.3094928614
2000-07-01,-0.5357259038
2000-10-01,-3.3031419351
2001-01-01,-3.0540804077
2001-04-01,1.3466599621
2001-07-01,-4.1797026976
2001-10-01,2.3185707965
2002-01-01,0.0111556750
2002-04-01,-2.5055615339
2002-07-01,-4.3261891403
2002-10-01,1.0198363250
2003-01-01,-1.1816103211
2003-04-01,2.7639994718
2003-07-01,1.0131476955
2003-10-01,2.1644083843
2004-01-01,-0.0959534373
2004-04-01,-0.2454869997
2004-07-01,-0.7034459975
2004-10-01,1.3909411539
2005-01-01,-0.2758503833
2005-04-01,0.2305858096
2005-07-01,0.8292067546
2005-10-01,0.0718545295
2006-01-01,1.6011723798
2006-04-01,-0.9141710037
2006-07-01,0.3492794728
2006-10-01,1.3930040522
2007-01-01,0.4301347425
2007-04-01,0.4752651804
2007-07-01,-0.4217377931
2007-10-01,-1.5490712341
2008-01-01,-2.1101079380
2008-04-01,-0.9033038298
2008-07-01,-2.8897904354
2008-10-01,-4.6340443489
2009-01-01,-1.8275184755
2009-04-01,3.4291499357
2009-07-01,2.7787786417
2009-10-01,0.5710047938
2010-01-01,0.7746511253
2010-04-01,-2.3708032433
2010-07-01,1.9268064208
2010-10-01,1.6286096435
2011-01-01,1.1412599561
2011-04-01,-0.4800588076
2011-07-01,-3.9810549578
2011-10-01,1.1693272649
2012-01-01,2.2001645693
2012-04-01,-1.0736615094
2012-07-01,0.8067637384
2012-10-01,-0.1539470835
2013-01-01,2.1371749948
2013-04-01,0.3471583400
2013-07-01,0.9029555824
2013-10-01,1.2213470377
2014-01-01,0.6887029538
2014-04-01,0.7791813079
2014-07-01,-0.6963962481
2014-10-01,0.5495068527
2015-01-01,0.0718268534
2015-04-01,-0.0583212016
2015-07-01,-2.1705059419
2015-10-01,0.9007921021
2016-01-01,-0.0723038528
2016-04-01,0.2466046541
2016-07-01,0.4764784975
2016-10-01,0.4048055505
2017-01-01,0.9927813296
2017-04-01,0.3397182683
2017-07-01,0.5961687651
2017-10-01,0.9785643795
2018-01-01,-0.4408640620
2018-04-01,0.1767636355
2018-07-01,0.8511321511
2018-10-01,-3.6880534570
2019-01-01,2.7514379006
2019-04-01,0.2935455151
2019-07-01,-0.4257523495
2019-10-01,1.3827967123
2020-01-01,-6.1960815770
2020-04-01,3.8534999053
2020-07-01,1.6333942327
2020-10-01,2.9678374799
2021-01-01,1.2446810561
2021-04-01,1.3545414442
2021-07-01,-0.477726980
2021-10-01,0.604559093
2022-01-01,-1.1505239204
2022-04-01,-4.2824545754
2022-07-01,-0.9952862809
2022-10-01,1.3369937912
2023-01-01,1.1994232911
