"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","LM154022005.Q","LM154022006.Q","LM154022075.Q","LM154022076.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"2024:Q2",163796961,784.53,184525633,883.82,20728672, 99.28,61287607,293.55,123238026,590.27,13139910, 62.94,5023470,24.06,2565292,12.29,48217974,230.95,7995268,38.29,5074365,24.30,18438352, 88.31,33952815,162.62,17594650,84.27,6199179,29.69,5328902,25.52,16234334, 77.76,15515889, 74.32,9973904,47.77, 2760220,  661838, 299674, 1751857,   46852,20878238
"2024:Q1",161036740,778.14,181588146,877.44,20551406, 99.31,59484000,287.43,122104146,590.01,13041366, 63.02,4990792,24.12,2519248,12.17,46440496,224.40,7958877,38.46,5084627,24.57,18510158, 89.44,33553824,162.13,17331804,83.75,5923138,28.62,5305269,25.64,16129340, 77.94,15426536, 74.54,9924077,47.95, 5659387, 3723288,  68715, 1482930,  384454,20695201
"2023:Q4",155377354,759.60,175870619,859.79,20493265,100.19,57903392,283.08,117967227,576.71,13010698, 63.61,5023696,24.56,2458871,12.02,44901710,219.51,7878183,38.51,5123499,25.05,18197104, 88.96,31219493,152.62,15942847,77.94,6000859,29.34,5158833,25.22,16023814, 78.34,15593492, 76.23,9830784,48.06, 3856274, 3986671, 649207, -644603, -135001,20455046
"2023:Q3",151521079,745.66,171840802,845.66,20319723,100.00,58506785,287.92,113334017,557.74,12917827, 63.57,4962998,24.42,2438898,12.00,45266118,222.76,7850116,38.63,5390551,26.53,17887028, 88.03,28743170,141.45,14432499,71.02,5579951,27.46,4930534,24.26,15931663, 78.40,16125913, 79.36,9703260,47.75,-1464085,-1692910, -40666,  416857, -147366,20320375
"2023:Q2",152985164,758.70,173122892,858.57,20137728, 99.87,58064600,287.96,115058292,570.61,12800739, 63.48,4941708,24.51,2395281,11.88,44757774,221.97,7838996,38.88,5467830,27.12,17892452, 88.73,29727753,147.43,15140826,75.09,5505676,27.30,5045475,25.02,15841796, 78.56,16173381, 80.21,9730933,48.26, 5381019, 2532301, 194320, 2314644,  339754,20164181
"2023:Q1",147604145,742.47,167570744,842.90,19966599,100.43,55637436,279.86,111933308,563.04,12709066, 63.93,4886717,24.58,2370816,11.93,42539613,213.98,7735319,38.91,5362504,26.97,17906802, 90.07,28078401,141.24,14257877,71.72,5380183,27.06,4976648,25.03,15750333, 79.23,15924599, 80.10,9658465,48.58, 3270791, 2548790, 864644,  -97540,  -45103,19880214
"2022:Q4",144333354,752.58,164261178,856.49,19927824,103.91,55621495,290.02,108639683,566.47,12650061, 65.96,4894229,25.52,2383534,12.43,42593662,222.09,7645632,39.87,5382201,28.06,17964689, 93.67,26294504,137.10,13492984,70.36,4653898,24.27,4838289,25.23,15658267, 81.65,16244848, 84.70,9492204,49.49,  968870, 2178951, 814281, -955408,-1068954,19178408
"2022:Q3",143364484,759.28,163074713,863.66,19710229,104.39,56493744,299.20,106580969,564.47,12499411, 66.20,4789406,25.37,2421412,12.82,43521594,230.50,7576325,40.13,5395825,28.58,18160043, 96.18,25080934,132.83,12527603,66.35,3858773,20.44,4819133,25.52,15961161, 84.53,16618152, 88.01,9555170,50.61,-3395174,-1784459, 244336,-1254769, -600283,18881726
"2022:Q2",146759658,793.21,166144519,897.99,19384861,104.77,57568952,311.15,108575567,586.83,12292297, 66.44,4694143,25.37,2398421,12.96,44823605,242.26,7410688,40.05,5334659,28.83,18252270, 98.65,26024093,140.66,13368903,72.26,3345917,18.08,5087652,27.50,16267075, 87.92,16625001, 89.86,9604656,51.91,-5728910,-7831610,-246235, 2319586,   29349,18501924
"2022:Q1",152488568,835.66,171511672,939.91,19023104,104.25,55091950,301.91,116419722,637.99,12033265, 65.94,4576982,25.08,2412857,13.22,42542433,233.14,7271052,39.85,5278465,28.93,18306273,100.32,31100580,170.44,16124026,88.36,3117197,17.08,5562607,30.48,16574065, 90.83,15993829, 87.65,9641146,52.83, 1947136,-2074220,-224220, 3612936,  632640,18247754
"2021:Q4",150541432,818.94,169369753,921.37,18828321,102.43,51188579,278.47,118181174,642.90,11902293, 64.75,4548530,24.74,2377498,12.93,38904036,211.64,6998079,38.07,5286464,28.76,18060921, 98.25,31866929,173.36,17431896,94.83,2988255,16.26,5915769,32.18,16879005, 91.82,15563288, 84.66,9475111,51.54, 3841681, 1978928,-220225,  890438, 1192540,18382401
"2021:Q3",146699751,799.52,165131774,899.98,18432023,100.46,50026375,272.65,115105399,627.33,11652581, 63.51,4460187,24.31,2319255,12.64,38182113,208.09,6744071,36.76,5100191,27.80,17427995, 94.98,30985875,168.87,16334023,89.02,3313198,18.06,5811051,31.67,16775233, 91.43,15056207, 82.06,9401818,51.24, 3392383,   67253, 195502, 2001019, 1128609,18348470
"2021:Q2",143307369,781.30,161383516,879.85,18076147, 98.55,47762068,260.40,113621448,619.46,11420367, 62.26,4385185,23.91,2270595,12.38,36470480,198.83,6497170,35.42,4794418,26.14,17291822, 94.27,30670670,167.21,16581974,90.40,3216412,17.54,5712335,31.14,16670616, 90.89,14267054, 77.78,9210564,50.22, 6538476, 3377360,  62104, 2339637,  759374,18342156
"2021:Q1",136768893,698.35,154125089,786.97,17356196, 88.62,45072775,230.14,109052314,556.83,10957229, 55.95,4167219,21.28,2231748,11.40,34271959,174.99,6152813,31.42,4648003,23.73,17194198, 87.79,28298287,144.49,15576997,79.54,3323588,16.97,5543055,28.30,16566435, 84.59,13507315, 68.97,9042439,46.17, 5031058, 2806106,-578392, 1347513, 1455831,19584581
"2020:Q4",131737835,760.61,148922907,859.83,17185072, 99.22,43586433,251.65,105336474,608.18,10843346, 62.61,4184853,24.16,2156873,12.45,32984834,190.44,6026241,34.79,4575358,26.42,16220917, 93.65,26172738,151.11,14896440,86.01,3945634,22.78,5499401,31.75,16461360, 95.04,13179800, 76.10,8960184,51.73, 8293475, 5763702, 254175, 1079812, 1195787,17319968
"2020:Q3",123444360,702.18,140360267,798.40,16915907, 96.22,42345929,240.87, 98014338,557.53,10712771, 60.94,4142706,23.56,2060430,11.72,32028701,182.19,5877615,33.43,4439613,25.25,15571819, 88.58,22152298,126.01,13153178,74.82,3891596,22.14,5299265,30.14,16374250, 93.14,12826813, 72.96,8745119,49.74, 4517431, 2886706, 127962,  851348,  651415,17580205
"2020:Q2",118926928,658.11,135585200,750.29,16658272, 92.18,41309872,228.60, 94275328,521.69,10562691, 58.45,4097391,22.67,1998190,11.06,31262247,173.00,5702388,31.56,4345237,24.05,15413797, 85.30,20093696,111.19,12325074,68.20,4039194,22.35,5023705,27.80,16288291, 90.13,12410290, 68.67,8681281,48.04, 7924010, 5842356, -15233,  676465, 1420422,18071076
"2020:Q1",111002918,671.97,127661434,772.82,16658516,100.85,40622198,245.91, 87039236,526.91,10502593, 63.58,4147839,25.11,2008084,12.16,30534058,184.84,5702306,34.52,4385834,26.55,14262631, 86.34,16394501, 99.25,10181913,61.64,4386206,26.55,4691926,28.40,16202146, 98.08,12285330, 74.37,8634584,52.27,-6208419,-7926738,-403316,  707187, 1414448,16518917
"2019:Q4",117211337,716.12,133807075,817.51,16595738,101.39,39869603,243.59, 93937472,573.92,10461460, 63.92,4192191,25.61,1942087,11.87,29887655,182.60,5669898,34.64,4312050,26.35,13357617, 81.61,21273855,129.98,13229297,80.83,4433100,27.08,5048347,30.84,16120781, 98.49,12135017, 74.14,8339457,50.95, 3457281, 2453211,  22913,  338390,  642767,16367592
"2019:Q3",113754056,701.71,130157234,802.90,16403178,101.19,39485225,243.57, 90672009,559.33,10393477, 64.11,4124158,25.44,1885543,11.63,29543803,182.25,5630791,34.73,4310631,26.59,12789950, 78.90,19817865,122.25,12232076,75.46,4543704,28.03,4914830,30.32,15982853, 98.59,12068159, 74.44,8322572,51.34,  703436, -180574, 180791,  278888,  424330,16210924
