observation_date,INDPRO_PCH
1919-02-01,-4.41896
1919-03-01,-2.89007
1919-04-01,1.78477
1919-05-01,0.58522
1919-06-01,6.39559
1919-07-01,6.01114
1919-08-01,1.54557
1919-09-01,-2.03003
1919-10-01,-1.03701
1919-11-01,-1.56986
1919-12-01,1.59490
1920-01-01,9.42503
1920-02-01,0.00000
1920-03-01,-1.91346
1920-04-01,-5.36602
1920-05-01,2.57723
1920-06-01,1.00387
1920-07-01,-2.48751
1920-08-01,0.51057
1920-09-01,-3.55396
1920-10-01,-4.20966
1920-11-01,-8.24152
1920-12-01,-5.98784
1921-01-01,-5.73182
1921-02-01,-2.02845
1921-03-01,-2.75804
1921-04-01,0.00000
1921-05-01,2.83626
1921-06-01,-0.69015
1921-07-01,-0.69495
1921-08-01,3.49905
1921-09-01,0.67364
1921-10-01,6.04215
1921-11-01,-1.26672
1921-12-01,-0.64148
1922-01-01,3.87135
1922-02-01,4.34863
1922-03-01,5.35651
1922-04-01,-3.39015
1922-05-01,5.26259
1922-06-01,5.00155
1922-07-01,0.00000
1922-08-01,-2.11790
1922-09-01,5.40530
1922-10-01,5.64130
1922-11-01,4.37028
1922-12-01,2.78922
1923-01-01,-2.26240
1923-02-01,1.38989
1923-03-01,3.19693
1923-04-01,2.21231
1923-05-01,1.29801
1923-06-01,-0.85531
1923-07-01,-0.86109
1923-08-01,-1.73875
1923-09-01,-2.21396
1923-10-01,-0.45113
1923-11-01,0.00000
1923-12-01,-2.27265
1924-01-01,2.32550
1924-02-01,1.81778
1924-03-01,-1.78533
1924-04-01,-3.18239
1924-05-01,-4.22488
1924-06-01,-4.41308
1924-07-01,-1.53767
1924-08-01,3.64651
1924-09-01,3.51635
1924-10-01,2.42713
1924-11-01,1.89710
1924-12-01,2.78922
1925-01-01,3.16803
1925-02-01,0.00000
1925-03-01,0.00000
1925-04-01,0.87782
1925-05-01,-0.43509
1925-06-01,-0.87399
1925-07-01,2.64344
1925-08-01,-1.71638
1925-09-01,-1.30936
1925-10-01,3.98183
1925-11-01,2.12759
1925-12-01,1.24934
1926-01-01,-1.64574
1926-02-01,0.00000
1926-03-01,1.25457
1926-04-01,0.00000
1926-05-01,-0.82551
1926-06-01,1.24934
1926-07-01,0.41182
1926-08-01,1.23039
1926-09-01,1.61907
1926-10-01,0.00000
1926-11-01,-0.39869
1926-12-01,-0.40029
1927-01-01,-0.40189
1927-02-01,0.80703
1927-03-01,1.19937
1927-04-01,-2.37031
1927-05-01,0.80878
1927-06-01,-0.40189
1927-07-01,-1.20905
1927-08-01,0.00000
1927-09-01,-1.63230
1927-10-01,-2.07462
1927-11-01,0.00000
1927-12-01,0.42245
1928-01-01,2.10966
1928-02-01,0.82704
1928-03-01,0.82026
1928-04-01,-0.40679
1928-05-01,1.22385
1928-06-01,0.80703
1928-07-01,1.19937
1928-08-01,1.97624
1928-09-01,0.77575
1928-10-01,1.92302
1928-11-01,1.88674
1928-12-01,1.85180
1929-01-01,1.45424
1929-02-01,-0.35868
1929-03-01,0.35997
1929-04-01,1.79207
1929-05-01,1.76052
1929-06-01,0.69254
1929-07-01,1.37428
1929-08-01,-1.01642
1929-09-01,-0.68542
1929-10-01,-1.72409
1929-11-01,-4.91189
1929-12-01,-4.42846
1930-01-01,0.00000
1930-02-01,-0.38638
1930-03-01,-1.55006
1930-04-01,-0.78650
1930-05-01,-1.58843
1930-06-01,-2.82161
1930-07-01,-4.56447
1930-08-01,-2.17384
1930-09-01,-1.77904
1930-10-01,-2.71353
1930-11-01,-2.32550
1930-12-01,-2.38087
1931-01-01,-0.48815
1931-02-01,0.49054
1931-03-01,1.95079
1931-04-01,0.47881
1931-05-01,-1.42958
1931-06-01,-2.41540
1931-07-01,-1.48437
1931-08-01,-3.51822
1931-09-01,-4.68699
1931-10-01,-3.82583
1931-11-01,-1.13718
1931-12-01,-0.57299
1932-01-01,-2.89007
1932-02-01,-2.38264
1932-03-01,-1.21813
1932-04-01,-6.79036
1932-05-01,-3.31116
1932-06-01,-3.42455
1932-07-01,-2.83626
1932-08-01,2.91905
1932-09-01,6.38225
1932-10-01,3.33325
1932-11-01,0.00000
1932-12-01,-1.93448
1933-01-01,-1.97509
1933-02-01,0.67163
1933-03-01,-5.99936
1933-04-01,7.09197
1933-05-01,16.55580
1933-06-01,15.34137
1933-07-01,9.35896
1933-08-01,-4.05362
1933-09-01,-5.63434
1933-10-01,-4.97501
1933-11-01,-5.75942
1933-12-01,0.55596
1934-01-01,3.31525
1934-02-01,4.81230
1934-03-01,4.59325
1934-04-01,0.00000
1934-05-01,1.95079
1934-06-01,-1.91346
1934-07-01,-6.83047
1934-08-01,-1.04593
1934-09-01,-5.82029
1934-10-01,4.49340
