,S&P 500,S&P 500,S&P 500
Reported,Weekly,Weekly,Weekly
Date,High,Low,Close
9-11-87,321.98,313.56,321.98
9-18-87,323.08,314.86,314.86
9-25-87,321.19,310.54,320.16
10-2-87,328.07,321.69,328.07
10-9-87,328.08,311.07,311.07
10-16-87,314.52,282.70,282.70
10-23-87,258.39,224.84,248.22
10-30-87,251.79,227.67,251.79
11-6-87,255.75,248.31,250.41
11-13-87,248.52,239.00,245.64
11-20-87,246.76,240.05,242.00
11-27-87,246.39,240.34,240.34
12-4-87,233.45,223.92,223.92
12-11-87,238.89,228.76,235.32
12-18-87,249.16,242.19,249.16
12-24-87,253.16,249.54,252.02
12-31-87,247.86,244.59,247.08
1-8-88,261.07,243.40,243.40
1-15-88,252.05,245.42,252.05
1-22-88,251.88,242.63,246.50
1-29-88,257.07,249.38,257.07
2-5-88,255.57,250.96,250.96
2-12-88,257.63,249.10,257.63
2-19-88,261.61,257.91,261.61
2-26-88,265.64,261.58,262.46
3-4-88,267.98,267.22,267.30
3-11-88,269.43,263.84,264.94
3-18-88,271.22,266.13,271.12
3-25-88,268.91,258.51,258.51
4-1-88,260.07,258.06,258.89
4-8-88,269.43,256.09,269.43
4-15-88,271.55,259.75,259.77
4-22-88,260.14,256.13,260.14
4-29-88,263.93,261.33,261.33
5-6-88,263.00,257.48,257.48
5-13-88,257.62,253.31,256.78
5-20-88,258.71,251.35,253.02
5-27-88,254.63,250.83,253.42
6-3-88,266.69,262.16,266.45
6-10-88,271.52,265.17,271.26
6-17-88,274.44,269.77,270.68
6-24-88,275.66,268.94,273.78
7-1-88,273.50,269.07,271.78
7-8-88,275.80,270.02,270.02
7-15-88,272.05,267.77,272.05
7-22-88,270.51,263.50,263.50
7-29-88,272.02,262.50,272.02
8-5-88,272.98,271.15,271.15
8-12-88,269.98,261.90,262.55
8-19-88,261.03,258.69,260.24
8-26-88,261.13,256.98,259.68
9-2-88,264.48,258.35,264.48
9-9-88,266.84,265.59,266.84
9-16-88,270.65,266.47,270.65
9-23-88,270.16,268.82,269.76
9-30-88,272.59,268.26,271.91
10-7-88,278.07,270.62,278.07
10-14-88,278.24,273.98,275.50
10-21-88,283.66,276.41,283.66
10-28-88,282.38,277.28,278.53
11-4-88,279.20,276.31,276.31
